epoch,lr,train_loss,val_relL2_H,val_relL2_P
1,0.001,9.5635e-01,2.6400e+00,9.4266e-01
10,0.0009973,1.4912e-01,3.1894e+00,3.7638e-01
20,0.0009892,2.0966e-02,2.1393e+00,4.2935e-01
30,0.0009758,9.0841e-03,1.9460e+00,4.4427e-01
40,0.0009572,5.5386e-03,1.9486e+00,4.2921e-01
50,0.0009337,3.4948e-03,1.9092e+00,4.2228e-01
60,0.0009055,2.5370e-03,1.8945e+00,4.1315e-01
70,0.0008729,4.8035e-03,1.8840e+00,4.2070e-01
80,0.0008362,1.6570e-03,1.8632e+00,4.2111e-01
90,0.000796,1.6843e-03,1.7736e+00,4.0600e-01
100,0.0007525,1.1503e-03,1.8193e+00,4.1025e-01
110,0.0007063,8.3495e-04,1.7732e+00,4.0604e-01
120,0.000658,6.7931e-04,1.7508e+00,4.0416e-01
130,0.0006079,5.6413e-04,1.7057e+00,4.0514e-01
140,0.0005567,5.1614e-04,1.6756e+00,4.0248e-01
150,0.000505,4.8298e-04,1.6645e+00,4.0697e-01
160,0.0004533,3.8947e-04,1.6434e+00,4.0238e-01
170,0.0004021,3.8330e-04,1.6294e+00,4.0347e-01
180,0.000352,3.2553e-04,1.6131e+00,4.0307e-01
190,0.0003037,3.2030e-04,1.6056e+00,4.0304e-01
200,0.0002575,2.7078e-04,1.5975e+00,4.0260e-01
210,0.000214,2.6025e-04,1.5919e+00,4.0386e-01
220,0.0001738,2.7365e-04,1.5836e+00,4.0328e-01
230,0.0001371,2.5088e-04,1.5854e+00,4.0294e-01
240,0.0001045,2.3374e-04,1.5813e+00,4.0346e-01
250,7.632e-05,2.2497e-04,1.5792e+00,4.0317e-01
260,5.279e-05,2.2631e-04,1.5790e+00,4.0336e-01
270,3.423e-05,2.3467e-04,1.5778e+00,4.0339e-01
280,2.082e-05,2.4585e-04,1.5764e+00,4.0340e-01
290,1.271e-05,2.2142e-04,1.5757e+00,4.0337e-01
300,1e-05,2.1763e-04,1.5763e+00,4.0336e-01
