kq_s_inv,t_s,mass_H,mass_Q,acid_loss_integral,neutralization_integral,H_budget,Q_budget,H_budget_relative_error,Q_budget_relative_error
100,0.0000,144.149231,1638.400269,0.000000e+00,0.000000e+00,144.149231,1638.400269,0.000e+00,0.000e+00
100,3.0079,4.350403,1498.781006,1.797220e-01,1.396191e+02,144.149230,1638.400111,5.422e-09,9.607e-08
100,6.0158,3.710851,1498.201660,2.396770e-01,1.401987e+02,144.149230,1638.400363,3.731e-09,5.756e-08
100,8.9842,3.328397,1497.871460,2.918483e-01,1.405290e+02,144.149230,1638.400445,5.525e-09,1.074e-07
100,11.9921,2.997433,1497.587891,3.394014e-01,1.408124e+02,144.149230,1638.400286,6.147e-09,1.084e-08
100,15.0000,2.699391,1497.332520,3.822339e-01,1.410676e+02,144.149230,1638.400125,3.356e-09,8.761e-08
100,18.0079,2.428020,1497.099609,4.207865e-01,1.413004e+02,144.149230,1638.400033,3.938e-09,1.437e-07
100,21.0158,2.180422,1496.886475,4.554371e-01,1.415134e+02,144.149230,1638.399845,4.969e-09,2.582e-07
100,23.9842,1.957432,1496.694214,4.861403e-01,1.417057e+02,144.149230,1638.399872,4.134e-09,2.418e-07
100,26.9921,1.751443,1496.515991,5.140264e-01,1.418838e+02,144.149230,1638.399752,4.383e-09,3.154e-07
100,30.0000,1.564058,1496.353516,5.389544e-01,1.420462e+02,144.149230,1638.399734,3.961e-09,3.264e-07
100,33.0079,1.393871,1496.205444,5.611936e-01,1.421942e+02,144.149230,1638.399610,4.166e-09,4.021e-07
100,36.0158,1.239568,1496.070557,5.809926e-01,1.423287e+02,144.149230,1638.399227,4.249e-09,6.360e-07
100,38.9842,1.101658,1495.949829,5.983632e-01,1.424492e+02,144.149230,1638.399038,4.580e-09,7.509e-07
100,41.9921,0.975315,1495.839111,6.139779e-01,1.425599e+02,144.149230,1638.399049,5.356e-09,7.444e-07
100,45.0000,0.861381,1495.738770,6.277858e-01,1.426601e+02,144.149230,1638.398833,5.390e-09,8.763e-07
100,48.0079,0.758837,1495.648315,6.399660e-01,1.427504e+02,144.149230,1638.398742,6.145e-09,9.317e-07
100,51.0158,0.666732,1495.566650,6.506826e-01,1.428318e+02,144.149230,1638.398466,6.099e-09,1.100e-06
100,53.9842,0.585206,1495.494263,6.599701e-01,1.429041e+02,144.149230,1638.398317,5.800e-09,1.191e-06
100,56.9921,0.511268,1495.428467,6.682122e-01,1.429697e+02,144.149230,1638.398217,6.226e-09,1.252e-06
100,60.0000,0.445299,1495.369629,6.754024e-01,1.430285e+02,144.149230,1638.398157,6.503e-09,1.289e-06
300,0.0000,144.149231,1638.400269,0.000000e+00,0.000000e+00,144.149231,1638.400269,0.000e+00,0.000e+00
300,2.9954,4.009951,1498.364258,1.027060e-01,1.400366e+02,144.149234,1638.400835,2.123e-08,3.459e-07
300,6.0040,3.609055,1498.021362,1.599176e-01,1.403803e+02,144.149233,1638.401623,1.613e-08,8.270e-07
300,8.9993,3.259908,1497.724121,2.113257e-01,1.406780e+02,144.149234,1638.402121,1.811e-08,1.131e-06
300,11.9947,2.940920,1497.452026,2.577358e-01,1.409506e+02,144.149233,1638.402603,1.473e-08,1.425e-06
300,15.0033,2.647484,1497.200928,2.997460e-01,1.412020e+02,144.149233,1638.402931,1.442e-08,1.625e-06
300,17.9987,2.380048,1496.971191,3.373736e-01,1.414318e+02,144.149233,1638.403003,1.482e-08,1.669e-06
300,20.9941,2.135481,1496.760986,3.711685e-01,1.416426e+02,144.149233,1638.403570,1.433e-08,2.015e-06
300,24.0026,1.911234,1496.567505,4.015871e-01,1.418364e+02,144.149233,1638.403917,1.507e-08,2.227e-06
300,26.9980,1.707769,1496.391357,4.286708e-01,1.420128e+02,144.149233,1638.404150,1.357e-08,2.369e-06
300,30.0066,1.521863,1496.230103,4.529461e-01,1.421744e+02,144.149233,1638.404526,1.283e-08,2.599e-06
300,33.0020,1.353798,1496.084229,4.744656e-01,1.423210e+02,144.149233,1638.405198,1.336e-08,3.009e-06
300,35.9974,1.201444,1495.951172,4.935866e-01,1.424542e+02,144.149233,1638.405374,1.327e-08,3.116e-06
300,39.0059,1.063019,1495.829956,5.106055e-01,1.425756e+02,144.149233,1638.405564,1.226e-08,3.232e-06
300,42.0013,0.938597,1495.720459,5.255827e-01,1.426851e+02,144.149233,1638.405513,1.335e-08,3.201e-06
300,44.9967,0.826470,1495.621826,5.387893e-01,1.427840e+02,144.149233,1638.405800,1.323e-08,3.376e-06
300,48.0053,0.725219,1495.532471,5.504499e-01,1.428736e+02,144.149233,1638.406035,1.401e-08,3.520e-06
300,51.0007,0.634791,1495.452393,5.606249e-01,1.429538e+02,144.149233,1638.406209,1.407e-08,3.626e-06
300,53.9960,0.553847,1495.380371,5.695173e-01,1.430259e+02,144.149233,1638.406240,1.376e-08,3.645e-06
300,57.0046,0.481271,1495.315796,5.772948e-01,1.430907e+02,144.149233,1638.406463,1.378e-08,3.781e-06
300,60.0000,0.416941,1495.258301,5.840137e-01,1.431483e+02,144.149233,1638.406579,1.367e-08,3.852e-06
1000,0.0000,144.149231,1638.400269,0.000000e+00,0.000000e+00,144.149231,1638.400269,0.000e+00,0.000e+00
1000,3.0008,3.953700,1498.281982,7.452451e-02,1.401210e+02,144.149232,1638.402990,9.222e-09,1.661e-06
1000,6.0016,3.575178,1497.963501,1.309685e-01,1.404431e+02,144.149232,1638.406587,9.452e-09,3.856e-06
1000,8.9984,3.228008,1497.670410,1.819043e-01,1.407393e+02,144.149232,1638.409731,9.379e-09,5.775e-06
1000,11.9992,2.909630,1497.400879,2.279168e-01,1.410117e+02,144.149232,1638.412564,7.085e-09,7.504e-06
1000,15.0000,2.618030,1497.153320,2.693561e-01,1.412618e+02,144.149232,1638.415166,8.115e-09,9.093e-06
1000,18.0008,2.350996,1496.926270,3.066068e-01,1.414916e+02,144.149232,1638.417899,1.014e-08,1.076e-05
1000,21.0016,2.106769,1496.718018,3.400237e-01,1.417024e+02,144.149233,1638.420458,1.152e-08,1.232e-05
1000,23.9984,1.884078,1496.527466,3.699001e-01,1.418953e+02,144.149233,1638.422721,1.515e-08,1.370e-05
1000,26.9992,1.680880,1496.352783,3.966225e-01,1.420717e+02,144.149233,1638.424514,1.674e-08,1.480e-05
1000,30.0000,1.496089,1496.193481,4.204357e-01,1.422327e+02,144.149233,1638.426190,1.724e-08,1.582e-05
1000,33.0008,1.328368,1496.048950,4.416059e-01,1.423793e+02,144.149234,1638.428210,1.875e-08,1.705e-05
1000,36.0016,1.176443,1495.918823,4.603794e-01,1.425124e+02,144.149234,1638.431235,1.916e-08,1.890e-05
1000,38.9984,1.039272,1495.801025,4.769637e-01,1.426330e+02,144.149234,1638.434024,1.935e-08,2.060e-05
1000,41.9992,0.915346,1495.694458,4.916123e-01,1.427423e+02,144.149234,1638.436734,2.049e-08,2.226e-05
1000,45.0000,0.803776,1495.598511,5.044954e-01,1.428410e+02,144.149234,1638.439473,2.031e-08,2.393e-05
1000,48.0008,0.703552,1495.511963,5.157908e-01,1.429299e+02,144.149234,1638.441854,2.020e-08,2.538e-05
1000,51.0016,0.613733,1495.434326,5.256615e-01,1.430098e+02,144.149234,1638.444166,2.094e-08,2.679e-05
1000,53.9984,0.533547,1495.364990,5.342464e-01,1.430814e+02,144.149234,1638.446430,2.091e-08,2.817e-05
1000,56.9992,0.461971,1495.302979,5.417051e-01,1.431456e+02,144.149234,1638.448537,2.089e-08,2.946e-05
1000,60.0000,0.398355,1495.247437,5.481503e-01,1.432027e+02,144.149234,1638.450165,2.120e-08,3.045e-05
