op_label,row_kind,pitch_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Q0_mol_dm3,kq_s_inv,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,area_frac_locked,CD_pitch_frac,CD_initial_nm,CD_fixed_nm,CD_locked_nm,P_threshold_locked,cd_lock_status,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_fixed_threshold_nm,LER_CD_locked_nm,LER_delta_nm,psd_eblur_mid,psd_PEB_mid,psd_locked_mid,status_fixed,status_CD_locked,dCD_shift_nm,dLER_fixed_nm,dLER_locked_nm
,baseline,18.0,28.4,2.0,0.5,30.0,0.0,0.0,0.5314927099010464,0.7166053771249322,0.0666053771249322,0.18511266722388586,0.9467129629629629,0.7124768518518518,0.9260906984118821,12.614598889880975,16.669632571413878,12.744517102655646,0.60625,ok,2.77190169436708,2.820585026558353,2.1212480086152126,4.158788102328665,-2.0375400937134525,3.1979024471123854,3.1906935564737884,4.576135848952711,merged,merged,0.0,0.0,0.0
,quencher,18.0,28.4,2.0,0.5,30.0,0.005,0.5,0.5202942869073552,0.7077524047594053,0.05775240475940524,0.18745811785205002,0.9344907407407408,0.7031712962962963,0.9151470807020848,12.614598889880975,16.472647452637528,12.585257134242829,0.5984375,ok,2.77190169436708,2.820585026558353,2.364988965310924,4.13446416444957,-1.769475199138646,3.1979024471123854,3.6673019081171474,4.21625021826393,merged,merged,-0.19698511877635028,0.24374095669571139,-0.024323937879095148
,quencher,18.0,28.4,2.0,0.5,30.0,0.005,1.0,0.5136460618217492,0.7034776442366062,0.05347764423660617,0.18983158241485698,0.9260879629629629,0.7101851851851851,0.9074009320207137,12.614598889880975,16.333216776372847,12.705788091093497,0.590625,ok,2.77190169436708,2.820585026558353,2.505148732422807,4.137585355756339,-1.6324366233335317,3.1979024471123854,3.8281080807709977,4.490161451823565,merged,merged,-0.3364157950410309,0.38390072380759444,-0.021202746572326348
,quencher,18.0,28.4,2.0,0.5,30.0,0.005,2.0,0.5067630669269817,0.6998718501161619,0.04987185011616191,0.19310878318918023,0.9144212962962963,0.692037037037037,0.8980603990666347,12.614598889880975,16.165087183199425,12.395221309375293,0.590625,ok,2.77190169436708,2.820585026558353,2.637592479458064,4.1356007883665065,-1.4980083089084424,3.1979024471123854,4.39995457138666,4.081951451738929,merged,merged,-0.5045453882144528,0.5163444708428515,-0.023187313962158562
,quencher,18.0,28.4,2.0,0.5,30.0,0.01,0.5,0.5091700581734723,0.6988295332050293,0.04882953320502925,0.189659475031557,0.9183564814814815,0.6944212962962963,0.9016840492395932,12.614598889880975,16.230312886312678,12.438220947831939,0.590625,ok,2.77190169436708,2.820585026558353,2.586809201416469,4.1287708659040945,-1.5419616644876255,3.1979024471123854,4.0934018698491,4.0907773490259824,merged,merged,-0.4393196851012,0.4655611928012564,-0.030017236424570548
,quencher,18.0,28.4,2.0,0.5,30.0,0.01,1.0,0.49581241149228295,0.6900641509827703,0.040064150982770275,0.19425173949048735,0.8948379629629629,0.7074305555555556,0.8801361307699342,12.614598889880975,15.842450353858817,12.656931044089324,0.575,ok,2.77190169436708,2.820585026558353,2.9640972569297936,4.108652883030652,-1.1445556261008587,3.1979024471123854,5.92627787683428,4.293293997635831,merged,valid,-0.8271822175550607,0.8428492483145811,-0.05013521929801268
,quencher,18.0,28.4,2.0,0.5,30.0,0.01,2.0,0.48159981336568636,0.6824418636447824,0.03244186364478241,0.20084205027909607,0.8675,0.6954861111111111,0.8552066261392662,12.614598889880975,15.393719270506793,12.459544200306054,0.5671875,ok,2.77190169436708,2.820585026558353,3.279618326490548,4.112018166689927,-0.8323998401993786,3.1979024471123854,6.329989764404557,4.081312828350296,merged,valid,-1.275913300907085,1.1583703178753355,-0.046769935638738325
,quencher,18.0,28.4,2.0,0.5,30.0,0.02,0.5,0.48719079209867233,0.6808106957462582,0.030810695746258165,0.19361990364758586,0.8782638888888888,0.702662037037037,0.8646676500800754,12.614598889880975,15.564017701441358,12.583853110049926,0.5671875,ok,2.77190169436708,2.820585026558353,3.1594588901294154,4.0956620081412085,-0.9362031180117931,3.1979024471123854,6.231525443873376,4.141149793617572,merged,valid,-1.10561486997252,1.0382108815142028,-0.06312609418745652
,quencher,18.0,28.4,2.0,0.5,30.0,0.02,1.0,0.4604087080921883,0.6624813083210036,0.012481308321003581,0.2020726002288153,0.820324074074074,0.6992592592592592,0.8111059234828826,12.614598889880975,14.599906622691886,12.523100334739429,0.5445312500000001,ok,2.77190169436708,2.820585026558353,3.7193336754504336,4.074789527082055,-0.35545585163162174,3.1979024471123854,6.41209620628879,4.073108708418264,valid,valid,-2.0697259487219917,1.598085666835221,-0.0839985752466097
,quencher,18.0,28.4,2.0,0.5,30.0,0.02,2.0,0.43056779914483284,0.6455764407133322,-0.004423559286667822,0.21500864156849936,0.7540740740740741,0.709375,0.7490847963337439,12.614598889880975,13.48352633400739,12.690180770608274,0.5164062500000002,ok,2.77190169436708,2.820585026558353,4.0409152141165094,4.05198753372911,-0.0110723196126008,3.1979024471123854,5.633691693867502,4.225118712481857,under_exposed,under_exposed,-3.186106237406488,1.9196672055012969,-0.10680056859955478
,baseline,20.0,40.0,2.0,0.5,30.0,0.0,0.0,0.5193330764219687,0.7919585907053737,0.14195859070537364,0.272625514283405,0.9415416666666667,0.6189166666666667,0.9247000545531515,12.46689001848755,18.49400109106303,12.365465708946369,0.66875,ok,2.77190169436708,2.6158313592245284,2.2394319929185955,3.282415080942998,-1.0429830880244024,2.8167932246171814,3.130463581296598,1.5409306914885237,merged,merged,0.0,0.0,0.0
,quencher,20.0,40.0,2.0,0.5,30.0,0.005,0.5,0.5078380778753248,0.7844768883318032,0.13447688833180316,0.2766388104564784,0.9283958333333333,0.61775,0.9134867272444002,12.46689001848755,18.269734544888003,12.344332432968624,0.659375,ok,2.77190169436708,2.6158313592245284,2.42255017328674,3.263168643158403,-0.840618469871663,2.8167932246171814,3.7229079797031006,1.5339837388813327,merged,merged,-0.22426654617502706,0.1831181803681443,-0.019246437784595116
,quencher,20.0,40.0,2.0,0.5,30.0,0.005,1.0,0.5011003198372558,0.7813756379460362,0.13137563794603613,0.28027531810878037,0.9188125,0.635375,0.9052952999801402,12.46689001848755,18.105905999602804,12.706746852774709,0.6468750000000001,ok,2.77190169436708,2.6158313592245284,2.6290477670422074,3.364277400702646,-0.7352296336604387,2.8167932246171814,4.7666459286549685,1.7840243303692602,merged,merged,-0.3880950914602259,0.3896157741236119,0.0818623197596482
,quencher,20.0,40.0,2.0,0.5,30.0,0.005,2.0,0.49417959579252163,0.7790643789012839,0.12906437890128386,0.28488478310876225,0.9090416666666666,0.6251458333333333,0.8962841914345547,12.46689001848755,17.925683828691096,12.497317416961605,0.6468750000000001,ok,2.77190169436708,2.6158313592245284,2.761011077920968,3.2952547005313577,-0.5342436226103899,2.8167932246171814,4.773582988955303,1.5831080189281352,merged,robust_valid,-0.5683172623719344,0.5215790850023723,0.012839619588359774
,quencher,20.0,40.0,2.0,0.5,30.0,0.01,0.5,0.49642132704145453,0.7768744648703089,0.12687446487030885,0.28045313782885434,0.912,0.624,0.8990216141604588,12.46689001848755,17.980432283209176,12.46947172374776,0.6468750000000001,ok,2.77190169436708,2.6158313592245284,2.7190446533558386,3.28132799448301,-0.5622833411271713,2.8167932246171814,4.694336728629045,1.5727219954276168,merged,robust_valid,-0.5135688078538543,0.47961266043724304,-0.001087086459988118
,quencher,20.0,40.0,2.0,0.5,30.0,0.01,1.0,0.4828884872101425,0.770449593470404,0.12044959347040396,0.2875611062602615,0.8929791666666667,0.620375,0.8815442940943686,12.46689001848755,17.630885881887373,12.400393621293055,0.6382812500000001,ok,2.77190169436708,2.6158313592245284,2.9625056505085907,3.250941847620485,-0.2884361971118943,2.8167932246171814,5.117758800122791,1.5437176409178064,merged,robust_valid,-0.8631152091756569,0.7230736575899952,-0.03147323332251295
,quencher,20.0,40.0,2.0,0.5,30.0,0.01,2.0,0.4686188687345145,0.7655247308905907,0.11552473089059068,0.2969058621560762,0.8705625,0.6194583333333333,0.8617722543020403,12.46689001848755,17.235445086040805,12.378017140130215,0.6296875000000001,ok,2.77190169436708,2.6158313592245284,3.1986552437246956,3.240289860975031,-0.04163461725033546,2.8167932246171814,4.925873708427071,1.53273786823131,merged,robust_valid,-1.2585560050222249,0.9592232508061,-0.04212521996796692
,quencher,20.0,40.0,2.0,0.5,30.0,0.02,0.5,0.47387127003124985,0.761332327198677,0.11133232719867703,0.2874610571674272,0.877875,0.617875,0.8678687010130289,12.46689001848755,17.35737402026058,12.34672672843688,0.6296875000000001,ok,2.77190169436708,2.6158313592245284,3.129821548394161,3.2224918148616672,-0.09267026646750631,2.8167932246171814,5.231580386510588,1.5310504826006974,merged,robust_valid,-1.1366270708024508,0.8903895554755654,-0.059923266081330695
,quencher,20.0,40.0,2.0,0.5,30.0,0.02,1.0,0.44675821037168684,0.7476063547451861,0.09760635474518609,0.30084814437349927,0.8357083333333334,0.6284791666666667,0.8281261712897721,12.46689001848755,16.56252342579544,12.565216575919065,0.6039062500000001,ok,2.77190169436708,2.6158313592245284,3.4987690932168882,3.2509107510364403,0.2478583421804479,2.8167932246171814,5.121450181453379,1.5884837496197692,robust_valid,robust_valid,-1.9314776652675896,1.2593371002982927,-0.031504329906557604
,quencher,20.0,40.0,2.0,0.5,30.0,0.02,2.0,0.41688957993670084,0.7364757414281717,0.08647574142817172,0.3195861614914709,0.7889375,0.6224791666666667,0.7846418090298417,12.46689001848755,15.692836180596833,12.44415811521652,0.58671875,ok,2.77190169436708,2.6158313592245284,3.6308453769692273,3.2052065898326716,0.4256387871365557,2.8167932246171814,4.033734565312352,1.538142515147246,robust_valid,robust_valid,-2.8011649104661966,1.3914133840506318,-0.07720849111032635
