tag,description,pitch_nm,line_cd_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,thickness_nm,amplitude,absorption_length_nm,P_threshold_locked,CD_locked_nm,cd_lock_status,H_min,P_min,P_max,P_top_at_line_center,P_bottom_at_line_center
stage1_clean_baseline,"Stage 1 clean geometry baseline (σ=0, t=30, no quencher)",24.0,12.5,40.0,0.0,0.8,30.0,0.2,0.5,0.0,0.0,20.0,0.0,30.0,0.528125,12.5980180297623,ok,0.03335947362313792,0.25152981938037816,0.7485371912566169,0.6410370707653782,0.7485371912566169
stage1B_overbudget_sigma5_t60,"Stage 1B over-budget reference (σ=5, t=60 → lines collapse)",24.0,12.5,40.0,5.0,0.8,60.0,0.2,0.5,0.0,0.0,20.0,0.0,30.0,0.8,13.817394816892158,unstable_high_bound,0.043349002835014125,0.7153387255020389,0.8799646446816808,0.8030318412158163,0.8799646446816808
stage4_balanced_v2_OP,"Stage 4 / v2 OP balanced (σ=2, Q0=0.02, kq=1.0, DH=0.5, t=30) — recommended OP",24.0,12.5,40.0,2.0,0.5,30.0,0.2,0.5,0.02,1.0,20.0,0.0,30.0,0.49687499999999996,12.400478636093412,ok,0.018814375955564556,0.1754914914788966,0.7321541708679822,0.5983621861207983,0.7321541708679822
stage5_pitch24_dose40,"Stage 5 recommended (pitch=24, dose=40, v2 OP chemistry)",24.0,12.5,40.0,2.0,0.5,30.0,0.2,0.5,0.02,1.0,20.0,0.0,30.0,0.49687499999999996,12.400478636093412,ok,0.018814375955564556,0.1754914914788966,0.7321541708679822,0.5983621861207983,0.7321541708679822
stage5_pitch18_dose28p4,"Stage 5 small-pitch recommended (pitch=18, dose=28.4, v2 OP chemistry; valid only)",18.0,12.5,28.4,2.0,0.5,30.0,0.2,0.5,0.02,1.0,20.0,0.0,30.0,0.4625,12.323980468925933,ok,0.02837192987721091,0.33872790681243414,0.6458330181447414,0.4988697606187843,0.6458330181447414
stage5_pitch16_dose40_merged,Stage 5 pitch=16 process-window-closed reference (lines merge),16.0,12.5,40.0,2.0,0.5,30.0,0.2,0.5,0.02,1.0,20.0,0.0,30.0,0.5984375,12.447180138036368,ok,0.048121985277398964,0.5287123490920543,0.7465779683553465,0.6137174764647455,0.7465779683553465
stage6_thick20_A0p10_v2_OP,"Stage 6 standing-wave demo (thick=20, A=0.10, v2 OP chemistry)",24.0,12.5,40.0,2.0,0.5,30.0,0.2,0.5,0.02,1.0,20.0,0.1,30.0,0.49687499999999996,12.374269436925326,ok,0.018730956476488456,0.17477674021453102,0.7337162568888294,0.5981554875508873,0.7337162568888294
stage6_thick20_A0p20_v2_OP,"Stage 6 strong standing wave (thick=20, A=0.20, v2 OP chemistry)",24.0,12.5,40.0,2.0,0.5,30.0,0.2,0.5,0.02,1.0,20.0,0.2,30.0,0.49687499999999996,12.32246882910834,ok,0.018614276929035344,0.17384992501263957,0.7342464637592998,0.5971991052910564,0.7342464637592998
stage6_thick30_A0p20_v2_OP,"Stage 6 thick film (thick=30, A=0.20, v2 OP chemistry)",24.0,12.5,40.0,2.0,0.5,30.0,0.2,0.5,0.02,1.0,30.0,0.2,30.0,0.43437499999999996,12.691579079678116,ok,0.013847746286820608,0.1337521505578936,0.7342463061763971,0.49702986074714434,0.734246306176397
cal01_best_score,"Calibration Phase 1 best score (Hmax=0.20, kdep=0.5, DH=0.8 — internal_best_score_candidate)",24.0,12.5,40.0,2.0,0.8,30.0,0.2,0.5,0.02,1.0,20.0,0.0,30.0,0.4953125000000001,12.363999860948397,ok,0.02499852132272672,0.2407628064963673,0.6998178060503459,0.5773011751346655,0.6998178060503459
cal05_smallpitch_best,"Phase 2B Part C small-pitch best (pitch=20, σ=0, DH=0.3, t=30, weak quencher)",20.0,12.5,40.0,0.0,0.3,30.0,0.2,0.5,0.01,1.0,20.0,0.0,30.0,0.5093749999999999,12.555740844071295,ok,0.02515202693916498,0.20063767882424552,0.7845162250344702,0.6525108126516291,0.78451622503447
