_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,H_min,P_min,P_max,prefilter_score
iter1_target_under_exposed_0,under_exposed,24,12.48,0.52,120.0,22.237690241306012,2.6581717659626998,0.31782525872075945,37.4511143991826,0.16403431771903157,0.4098136255484553,0.01964197848026454,1.5876051727291864,67.59742533833901,12.543092118351606,2.4331000700148087,0.01640625,-0.16419023286612355,2.351549725015024,0.09798123854229267,1.7372612546215471,2.7701829575093893,0.11196735901078846,0.48580976713387647,0.373842408123088,0.8858121508894697,0.005506172556212366,0.05806625915807977,0.5100222706901031,
iter1_target_under_exposed_1,numerical_invalid,24,12.48,0.52,120.0,29.6664294815767,1.3827925849476748,0.3639425395296394,22.46800993685522,0.15291136457223517,0.36919786385197073,0.019826485647970484,1.0304432180977574,95.68616240241616,nan,nan,0.0,-0.24620410277464283,nan,nan,nan,2.7701829575093893,0.04270304413636549,0.4037958972253572,0.3610928530889917,nan,0.004943686728672365,0.01598270737899848,0.4149055310334568,
iter1_target_under_exposed_2,numerical_invalid,32,19.2,0.6,160.0,28.41882525633729,2.937276690939559,0.5415133285467535,26.07583616123921,0.16880749080833896,0.3517738667355864,0.021929450199932136,1.2638847000729332,94.84305546898526,nan,nan,0.0,-0.2033144953740182,nan,nan,nan,2.790404311903947,0.10239427476686137,0.44668550462598183,0.3442912298591205,nan,0.010402733507324744,0.06115330719003976,0.4530601821438155,
iter1_target_under_exposed_3,numerical_invalid,28,14.56,0.52,140.0,23.494391205973255,2.0330973103876504,0.6932025283902763,35.516621891333074,0.1736922246521225,0.39002195204466705,0.025070992393108844,1.5600561320066344,17.499519728548226,nan,nan,0.0,-0.18588036492773202,nan,nan,nan,2.7772415217012325,0.10136279885550259,0.464119635072268,0.3627568362167654,nan,0.0073360527842878335,0.06447610746715,0.48321248648703224,
iter1_target_under_exposed_4,numerical_invalid,32,14.4,0.45,160.0,25.077694357658707,1.5103345357526512,0.6088752393097885,31.59048008092492,0.15008262522559485,0.4067450129960493,0.01885762290451766,1.5414790464245398,31.047226505704007,nan,nan,0.0,-0.20015929760058104,nan,nan,nan,2.777139811468949,0.03350219669844819,0.449840702399419,0.4163385057009708,nan,0.0035026065991711603,0.01908304663555737,0.46570002004921746,
iter1_target_under_exposed_5,under_exposed,20,9.0,0.45,100.0,27.887227062489742,0.8631144360842785,0.5446628644460647,39.717913155258316,0.15884026901694312,0.4483138390186961,0.019319716523861837,1.5225560880074482,50.67031060645326,9.191441236018665,2.830802801957228,0.1689375,-0.1349066415129494,4.445118435317352,0.2222559217658676,2.680017688523404,2.812021531233865,0.15636782255965437,0.5150933584870506,0.35872553592739626,1.6502269714616957,0.008892532772982555,0.09562565093312159,0.5642701046354245,
iter1_target_under_exposed_6,numerical_invalid,20,12.0,0.6,100.0,22.03027374641986,2.5816295186942604,0.5534972191657997,26.16766583079311,0.1629702866337767,0.435391901467503,0.023763685177932467,1.414079267105713,65.00520916381504,nan,nan,0.0,-0.26541004204050284,nan,nan,nan,2.812021531233865,0.18486883164346304,0.3845899579594972,0.19972112631603414,nan,0.01310504828599913,0.11588386327887112,0.40830874143073465,
iter1_target_under_exposed_7,numerical_invalid,24,14.399999999999999,0.6,120.0,22.61228419121004,0.43890637280015465,0.7067226435232897,33.83669291646345,0.17058268294706752,0.3565127560102564,0.02207891485446953,1.598716763747426,46.25900287102754,nan,nan,0.0,-0.22768983206565674,nan,nan,nan,2.777139811468949,0.13132560924493453,0.4223101679343433,0.29098455868940876,nan,0.0111996094555561,0.08340117297063511,0.4392947641538284,
iter1_target_under_exposed_8,under_exposed,24,14.399999999999999,0.6,120.0,33.39767127408497,1.9769598096340082,0.5688956718291244,40.42097019718091,0.16785776252924423,0.4196852937437724,0.026516770097935082,1.8217334267114957,58.224787243658035,14.311261217711598,2.6897174155399557,0.48868055555555556,-0.036908502622937545,11.721268773944704,0.4883861989143627,2.5892530160134895,2.777139811468949,0.24462487675947936,0.6130914973770625,0.3684666206175831,0.9329052002819254,0.01318401410316377,0.1528996327200509,0.6337952489716127,
iter1_target_under_exposed_9,under_exposed,20,9.0,0.45,100.0,32.727336008506704,0.3460984483985942,0.7345304533817651,36.8733708208376,0.17032276872781194,0.39614339424707595,0.018000773099246626,1.126810900306814,35.36087968059249,8.829093736262568,2.9916240641018788,0.16510416666666666,-0.13806879818054263,4.570892469565775,0.22854462347828877,2.759590331008476,2.812021531233865,0.199086397531551,0.5119312018194574,0.3128448042879064,1.6728463706363292,0.015220265223426838,0.13556231817326012,0.5618716489266532,
iter1_target_under_exposed_10,under_exposed,18,10.799999999999999,0.6,90.0,32.257059770625595,0.9927129658236689,0.33821412542368884,30.523937455329715,0.1521584681461584,0.41265117873888235,0.0201985017577898,1.1187308245224596,98.91207190658461,10.740182238465488,2.8347134405335725,0.2584490740740741,-0.1263384502901318,4.88410855396892,0.2713393641093844,2.786604598184597,2.8001199482964156,0.18272692766698218,0.5236615497098682,0.34093462204288605,2.137025110635676,0.01280821090856247,0.08551968298104352,0.5460771290497287,
iter1_target_under_exposed_11,numerical_invalid,20,9.0,0.45,100.0,34.778336093802075,2.9546705244834284,0.764802480915419,25.19556249254917,0.17909704136599391,0.39966072460365715,0.026945693281177036,1.5653261724609142,30.409269385874587,nan,nan,0.0,-0.23771527545587612,nan,nan,nan,2.812021531233865,0.1915485473336728,0.4122847245441239,0.2207361772104511,nan,0.016261978525192088,0.1264223291532638,0.4575014677802694,
iter1_target_under_exposed_12,under_exposed,32,14.4,0.45,160.0,31.93689089155084,0.6890161689571566,0.7699332169842841,41.10075819056476,0.15690768744623143,0.44480955882400597,0.020713657507717448,1.253177021576347,16.423830259206504,14.363232088856426,2.367709008856022,0.3641536458333333,-0.03753986273155574,11.646192432205538,0.36394351350642307,2.377236665858621,2.777139811468949,0.09292679879360723,0.6124601372684443,0.5195333384748371,0.9750043123080128,0.007122545336719912,0.06351932371583445,0.6345612462034812,
iter1_target_under_exposed_13,under_exposed,28,14.56,0.52,140.0,26.283915048575302,2.4008290037086097,0.4829692993345859,35.87747350168476,0.17170027357832596,0.3838615019216072,0.02230147918238763,1.9764768363144947,27.99393935475895,14.47723829651287,2.351851610279219,0.1302232142857143,-0.14032381263656457,4.375051763573541,0.15625184869905503,2.461729591966128,2.7772415217012325,0.08705864691822116,0.5096761873634355,0.42261754044521427,0.749643775309649,0.00558408136587683,0.048095982239547766,0.5277149849643243,
iter1_target_under_exposed_14,under_exposed,24,12.48,0.52,120.0,28.210086719843822,2.9954048390331183,0.744169324113733,42.935736585160335,0.1508825400434617,0.43942465784206536,0.018165512942262894,1.492540454872197,96.08205052661388,12.624021931200371,2.8519586241210497,0.2784548611111111,-0.11467198278211244,6.877308031905943,0.2865545013294143,3.215826625085472,2.7701829575093893,0.27231309760145656,0.5353280172178876,0.26301491961643103,0.43874566461463776,0.0143749563632059,0.20155294494725148,0.5668998744410975,
iter1_target_under_exposed_15,under_exposed,20,9.0,0.45,100.0,29.07199513446998,2.0745643693149045,0.7397629956108525,31.865322375694397,0.16578407202194015,0.4459320428610182,0.018735327944954586,1.4956394392615024,15.615893861149999,8.969004666855312,3.0795652691044566,0.010145833333333333,-0.18507375926955538,2.88872838781557,0.1444364193907785,1.2629322787398907,2.812021531233865,0.20024591105857992,0.46492624073044464,0.2646803296718647,1.082628809429346,0.01395376633664762,0.13399131959391486,0.512984681811154,
iter1_target_under_exposed_16,numerical_invalid,32,19.2,0.6,160.0,34.03890779853065,0.20870470472078828,0.506200436789936,21.343050083962627,0.15897460690278742,0.388783322777274,0.015164722227429213,1.2052768051230318,21.58316849248859,nan,nan,0.0,-0.17702945540686416,nan,nan,nan,2.790404311903947,0.03689513447205613,0.47297054459313587,0.43607541012107975,nan,0.005660594309772374,0.015782061788099246,0.4753985267156114,
iter1_target_under_exposed_17,numerical_invalid,20,12.0,0.6,100.0,25.439316354659276,2.132522456188613,0.5637569217607982,25.503671610377843,0.1755440732744004,0.38527281830721927,0.020012853408514473,1.3004284642788155,75.74968763653786,nan,nan,0.0,-0.22697459659986718,nan,nan,nan,2.812021531233865,0.19152247775733489,0.42302540340013284,0.23150292564279795,nan,0.017800975837876667,0.11628466519521045,0.4456791025970505,
iter1_target_under_exposed_18,numerical_invalid,32,16.64,0.52,160.0,26.821310505170956,1.474204026708734,0.6698522434974281,26.36772254716492,0.17472502237179033,0.35015384472923866,0.016098502277540894,1.2659481700721926,77.49158324567804,nan,nan,0.0,-0.1959448837792515,nan,nan,nan,2.776528339624675,0.051425698966816494,0.4540551162207485,0.40262941725393203,nan,0.007529568589309524,0.029347740156347644,0.4634806676550355,
