_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate,yield_score_06a_rescore,score_gap
D_1243__nom,robust_valid,24.0,12.48,0.52,120.0,52.952189340256155,0.6573477387428284,0.47568279430270194,33.43297273851931,0.2021333150751889,0.4906858271919191,0.011134928120300173,1.5573461670428514,50.0,12.294904736395802,2.5088834665591966,0.6538888888888889,0.19441948718053503,15.68720942639349,0.6536337260997288,2.573067501500126,2.7701829575093893,0.24670031398902442,0.8444194871805351,0.5977191731915106,1.573545578611259,4.586725975482864,0.020704800837986186,0.14050109395660476,0.8605387790487141,,,D_1243,1,0,nominal,1.0,0.5487685920315793,nan
D_812__nom,robust_valid,24.0,12.48,0.52,120.0,52.489258121699095,0.1931153442710638,0.4951038148254156,29.144660155288875,0.20280318291857838,0.5752463086508215,0.008649151157587767,1.3841324714012444,50.0,12.416732600572761,2.519599509514687,0.6446354166666667,0.21183317916431255,15.48359812955996,0.6451499220649983,2.548203237056378,2.7701829575093893,0.22697550555869778,0.8618331791643126,0.6348576736056148,1.7887302046468936,4.586725975482864,0.01938013148284286,0.1239748120796788,0.8768148576379358,,,D_812,2,0,nominal,0.9999583333333333,0.29107409922489613,nan
D_1513__nom,robust_valid,24.0,12.48,0.52,120.0,57.739948318339884,0.2753005949780345,0.3883114458993077,31.595399980433285,0.21976879190653564,0.6074707061052322,0.009825902944430708,1.1671670558862388,50.0,12.445741201492556,2.5268083951170364,0.6965972222222222,0.2777248892332248,16.71764533383603,0.6965685555765012,2.5801389688264824,2.7701829575093893,0.24043045298156265,0.9277248892332248,0.6872944362516622,1.96628368289905,4.586725975482864,0.017491766440252986,0.12021977835360143,0.9366802163453319,,,D_1513,3,0,nominal,0.999925,-0.5017868237462524,nan
D_3225__nom,robust_valid,24.0,12.48,0.52,120.0,59.955185344442725,0.19484605081379414,0.4984213786199689,32.54462571814656,0.20058580998331307,0.5513192222453653,0.016071795606985687,1.0864991042762995,50.0,12.46716335938552,2.5217918327530358,0.6661111111111111,0.22527179935319808,15.980155804347188,0.6658398251811328,2.576756229160165,2.7701829575093893,0.2547435088997045,0.8752717993531981,0.6205282904534937,1.710626951930689,4.586725975482864,0.019910718626412326,0.1461959797522547,0.890620638622123,,,D_3225,4,0,nominal,0.999925,0.5724648721053076,nan
D_29__nom,robust_valid,24.0,12.48,0.52,120.0,54.815631047822535,0.03002660907804966,0.3794054176658392,26.620803335681558,0.2037108673620969,0.5268380688503385,0.011666939109563828,1.5449687978252769,50.0,12.192882533501296,2.5436481128846067,0.5788888888888889,0.1774985907001,13.901020792006273,0.5792091996669281,2.5389163749999915,2.7701829575093893,0.11903405028514168,0.8274985907001,0.7084645404149583,2.2288264423847566,4.586725975482864,0.01032281218786448,0.048651282350336424,0.8403033456143265,,,D_29,5,0,nominal,0.99985,0.8472249999999996,nan
D_4593__nom,robust_valid,24.0,12.48,0.52,120.0,54.4862330686301,0.5168475955724716,0.4447053151205182,35.66634920891374,0.18961607231758534,0.5720053535886109,0.021670072115957735,1.0442101648077369,50.0,12.439979198392166,2.5163410307632375,0.6623263888888888,0.22118572973647888,15.897903239310631,0.6624126349712763,2.571522685575256,2.7701829575093893,0.24216994053565405,0.8711857297364789,0.6290157892008248,1.692338243417987,4.586725975482864,0.015272499196884433,0.13499658120683,0.8860918253768912,,,D_4593,6,0,nominal,0.9996250000000001,0.30472006852890754,nan
D_1752__nom,robust_valid,24.0,12.48,0.52,120.0,55.48730645701289,0.06497154291719198,0.500106573291123,30.237314272671938,0.21844692035578192,0.5157025554217398,0.014249971406534313,1.000605819746852,50.0,12.664516434402042,2.5215400715887504,0.6407465277777777,0.20978348696215976,15.386677895323164,0.6411115789717985,2.545719183072172,2.7701829575093893,0.22799133605559543,0.8597834869621598,0.6317921509065644,1.7674149196711333,4.586725975482864,0.020663012673981757,0.12664184837343848,0.8756573812182352,,,D_1752,7,0,nominal,0.998716666666667,0.7724273403520433,nan
D_2652__nom,robust_valid,24.0,12.48,0.52,120.0,50.27633666899055,0.27707752492278814,0.38451036922633647,36.74058944918215,0.18684964636340737,0.5565899247303605,0.017249463759362697,1.26831394713372,50.0,12.357722654813111,2.523350923566812,0.6333333333333333,0.21524726181695308,15.205245250396782,0.6335518854331993,2.536417944659803,2.7701829575093893,0.19773133437909166,0.8652472618169531,0.6675159274378615,1.8804391373258482,4.586725975482864,0.012212390254980852,0.10136194436108165,0.8798193249346837,,,D_2652,8,0,nominal,0.9983000000000006,-0.09898347445695777,nan
D_1963__nom,robust_valid,24.0,12.48,0.52,120.0,49.73868596646935,0.7941266912966967,0.4155564738437533,27.66520258039236,0.19111348493024707,0.5919772020541132,0.007932742070406675,0.9569138027727604,50.0,12.571955371206712,2.5110200291859393,0.6359895833333333,0.19444504099271465,15.261649682270953,0.6359020700946231,2.5422490792024406,2.7701829575093893,0.19453768369297814,0.8444450409927147,0.6499073572997365,1.812350520072276,4.586725975482864,0.015782623861987245,0.09543500902782905,0.856944610976189,,,D_1963,9,0,nominal,0.998041666666667,0.8456661476764936,nan
D_2899__nom,robust_valid,24.0,12.48,0.52,120.0,59.393913810141385,0.11198273207992315,0.43516744785010814,35.399154857732356,0.17993396399542688,0.570628852583468,0.015809983648359775,0.7819570177234709,50.0,12.43702513664714,2.5242703108108406,0.6604861111111111,0.22719339068259348,15.85618149951038,0.6606742291462658,2.564436038272192,2.7701829575093893,0.2456178130213653,0.8771933906825935,0.6315755776612282,1.7921900994383244,4.586725975482864,0.017120804987889034,0.13861790330568474,0.8919057440508078,,,D_2899,10,0,nominal,0.9973250000000007,-0.24623404724989528,nan
D_4350__nom,robust_valid,24.0,12.48,0.52,120.0,56.3290850892663,0.588140532374382,0.37109484542161225,34.71553212031722,0.18373005981557072,0.5580013302154839,0.02029613669961691,1.9054748849011958,50.0,12.579546246499488,2.5156124875908836,0.6249652777777778,0.20933032835986165,14.988911865394346,0.6245379943914311,2.530651567807079,2.7701829575093893,0.16279761664151823,0.8593303283598617,0.6965327117183434,1.8709518684669555,4.586725975482864,0.009234419854990664,0.07397355749573614,0.8730156364995078,,,D_4350,11,0,nominal,0.9966666666666673,0.6951913714301111,nan
D_3536__nom,robust_valid,24.0,12.48,0.52,120.0,58.21643159072846,0.7871274221688509,0.3263567278161645,26.05789413675666,0.20195914573036133,0.5717279964126647,0.014460683595389127,1.3070269306190312,50.0,12.602819108138243,2.5364403418216694,0.6189583333333334,0.20486029563411567,14.868895497797837,0.6195373124082432,2.5478876267953092,2.7701829575093893,0.1268594487421555,0.8548602956341157,0.7280008468919602,2.151268834543358,4.586725975482864,0.009258548508829173,0.047028606425312036,0.8637372298326417,,,D_3536,12,0,nominal,0.9949750000000009,0.6230583100869789,nan
D_2146__nom,robust_valid,24.0,12.48,0.52,120.0,57.45745566487312,0.3220409257337451,0.32825823239982127,32.86919340491295,0.1784540202561766,0.6249055511318147,0.020234021712094544,0.6211664425209165,50.0,12.55604555231243,2.540001483927619,0.6406597222222222,0.2379704999646033,15.379940023944641,0.6408308343310267,2.5425627885983375,2.7701829575093893,0.172981109729179,0.8879704999646033,0.7149893902354243,2.1414809083583632,4.586725975482864,0.01059910879035199,0.07766025688042404,0.8981233150352202,,,D_2146,13,0,nominal,0.9934750000000017,-0.06749218834091442,nan
D_1569__nom,robust_valid,24.0,12.48,0.52,120.0,51.12789114564657,0.5926171643659472,0.4610137247480452,31.19447445962578,0.17164000878110527,0.5062200882472098,0.007242759279906749,1.1027166899293661,50.0,12.482729125845541,2.512341092692111,0.5990451388888889,0.13995665543069002,14.384578383413281,0.5993574326422201,2.534890723484631,2.7701829575093893,0.20253237372816493,0.78995665543069,0.5874242817025251,1.6846458933710768,4.586725975482864,0.017851636048782465,0.1116714220853231,0.8069671925122521,,,D_1569,14,0,nominal,0.9931166666666686,0.8669583333333342,nan
D_1457__nom,robust_valid,24.0,12.48,0.52,120.0,40.75216315314174,0.34242468047887087,0.4445094374939799,35.098092425614595,0.1991005108039826,0.5925591707229614,0.012905460242182016,0.8692088257521391,50.0,12.210150242439582,2.519459315602829,0.6574652777777777,0.21389144477054933,15.782879604835077,0.6576199835347949,2.569302456302862,2.7701829575093893,0.24854544893170802,0.8638914447705494,0.6153459958388413,1.7235242890540214,4.586725975482864,0.016905024324938303,0.14220034991663363,0.879194728431498,,,D_1457,15,0,nominal,0.9929000000000016,-0.10942664875767394,nan
D_2564__nom,robust_valid,24.0,12.48,0.52,120.0,47.90880020521581,0.3502208227291703,0.4553877890110016,26.961977551691234,0.20535983414389192,0.5433812702074647,0.020483744340017436,1.7069888641126454,50.0,12.364430345119086,2.524719653774634,0.5677951388888889,0.1449745765554158,13.63452107579955,0.5681050448249813,2.5291003358206465,2.7701829575093893,0.13095569598960558,0.7949745765554158,0.6640188805658103,1.978558871863055,4.586725975482864,0.010317252126530235,0.05951883078257266,0.8110887754052165,,,D_2564,16,0,nominal,0.9923583333333338,0.8886000000000003,nan
D_884__nom,robust_valid,24.0,12.48,0.52,120.0,49.98298026714474,0.30746882781386375,0.3140278860926628,37.334829131141305,0.18873959445394575,0.6001736952923238,0.013619013978168368,1.7669601729139686,50.0,12.491653276524595,2.531972947314206,0.6483333333333333,0.25173888830921576,15.566297592440474,0.648595733018353,2.5354561900930817,2.7701829575093893,0.17446286634800617,0.9017388883092158,0.7272760219612096,2.0612301329990528,4.586725975482864,0.009313608897685658,0.07765800842638944,0.9122909818044378,,,D_884,17,0,nominal,0.992000000000001,-0.7055675672511679,nan
D_2413__nom,robust_valid,24.0,12.48,0.52,120.0,53.20566984079778,0.062324951402843,0.4875574421137571,37.67743683885783,0.18601450157351793,0.6202331117354334,0.021732126418501137,1.4818818350322545,50.0,12.518904036363972,2.5247983475777582,0.6652430555555555,0.2328954281222887,15.963324930932103,0.6651385387888377,2.5756446800560377,2.7701829575093893,0.25181477678411174,0.8828954281222887,0.631080651338177,1.6633470903387018,4.586725975482864,0.013786128932933586,0.1442552968440828,0.8995750332835198,,,D_2413,18,0,nominal,0.9917750000000014,-0.35125643309365895,nan
