_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_strict,variation_idx,phase,strict_score_surrogate,yield_score_surrogate,rep_kind
G_3691__strict-best_mc001_06h,robust_valid,24.0,12.186466540356555,0.5077694391815232,120.0,58.17464971864082,0.05923725158020343,0.494844549891722,29.592243523214606,0.1894464095854026,0.6312138759531081,0.01687493156345008,0.9048012448474765,50.0,11.913198178335483,2.544118521001566,0.6352430555555556,0.22073610334214777,15.243253254517175,0.6351355522715489,2.5557947001207575,2.793925239318858,0.21569818716820885,0.8707361033421478,0.6550379161739389,1.8327931807628928,4.632712688628936,0.016387874899935415,0.11939729972499215,0.8869242492243335,,,G_3691,1,1,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc002_06h,robust_valid,24.0,12.133829279051252,0.5055762199604689,120.0,57.182183845168694,0.003872348709978324,0.5014102802793213,32.35889670569766,0.17396818178916407,0.6312138759531081,0.017206322031828036,0.9048012448474765,50.0,12.033436779689106,2.5475051436595164,0.63234375,0.20923147819137167,15.175739114016158,0.6323224630840066,2.564172990907667,2.7961495172631934,0.22891448017248478,0.8592314781913717,0.630316998018887,1.7402330132875712,4.620913046050792,0.01581869381199418,0.13156662787532514,0.8772895015196583,,,G_3691,1,2,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc003_06h,robust_valid,24.0,12.871908772933342,0.5363295322055559,120.0,58.130883960634065,0.0,0.5219266125606228,29.798302834296162,0.18746464209065233,0.6312138759531081,0.016238781567959784,0.9048012448474765,50.0,12.597105736292587,2.5707499656371606,0.6703298611111111,0.22261992359743998,16.11217696246744,0.6713407067694767,2.6349956324046415,2.813816079106348,0.2594913246309119,0.87261992359744,0.613128598966528,1.7488682638483006,4.589249347070542,0.01941073440051425,0.14782781680303417,0.8868025202608041,,,G_3691,1,3,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc004_06h,robust_valid,24.0,12.754686472350599,0.5314452696812749,120.0,60.0,0.27285803598348135,0.5029870529791824,31.572190183562622,0.1905297727094078,0.6312138759531081,0.01919505657601118,0.9048012448474765,50.0,12.747802927056847,2.539859413668655,0.6923958333333333,0.23915697932641777,16.61161644571083,0.6921506852379512,2.6371741123514663,2.782576582703388,0.27599793178388954,0.8891569793264178,0.6131590475425283,1.68474956213145,4.511754565133266,0.01924645271799341,0.1591154295542202,0.9021460035798509,,,G_3691,1,4,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc005_06h,robust_valid,24.0,12.310329733377863,0.512930405557411,120.0,60.0,0.11067522769798108,0.4719210662006734,30.500239880630872,0.17802899743129852,0.6312138759531081,0.01722910176830129,0.9048012448474765,50.0,12.255438516828283,2.5308770205003666,0.6337847222222223,0.21549457325112487,15.209751277115112,0.633739636546463,2.54370770098049,2.7821212009340126,0.2119088317388664,0.8654945732511249,0.6535857415122585,1.8518427817148002,4.605155569602465,0.015176848895117317,0.11453240380742703,0.8810362281632158,,,G_3691,1,5,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc006_06h,robust_valid,24.0,12.031876661017828,0.5013281942090762,120.0,58.131249321819965,0.07127506835229802,0.5274400392093173,29.50521349640554,0.18031936209442587,0.6312138759531081,0.018700291516254703,0.9048012448474765,50.0,11.983622812081569,2.571632729528741,0.6130902777777778,0.1978550153566746,14.724842039017819,0.6135350849590758,2.5775217614303663,2.818319173488113,0.2083028621071314,0.8478550153566746,0.6395521532495432,1.753654542205283,4.564109111655838,0.01564336345743571,0.11669965844704833,0.8668444916079222,,,G_3691,1,6,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc007_06h,robust_valid,24.0,12.286360154750794,0.5119316731146164,120.0,56.85737915707267,0.198587794738049,0.44733965985388463,30.25394846633212,0.17777192842858058,0.6312138759531081,0.018515937473188294,0.9048012448474765,50.0,12.356740509172944,2.5325349515174485,0.6209375,0.20695928920189655,14.896597297008407,0.6206915540420169,2.53829771516277,2.7816494189011767,0.19134084685091052,0.8569592892018966,0.6656184423509861,1.8961305702493405,4.579365827173487,0.013436844228288393,0.09971002516042378,0.8722204030023751,,,G_3691,1,7,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc008_06h,robust_valid,24.0,12.412154517464884,0.5171731048943702,120.0,57.37567835728131,0.08428558582542472,0.5245128983430751,31.7615599749871,0.18034082279487162,0.6312138759531081,0.01935880218539201,0.9048012448474765,50.0,12.420939198755843,2.523270577544701,0.6500868055555555,0.21359084835364417,15.60850221585558,0.6503542589939825,2.5609827268969423,2.7736794288013455,0.2468493907484158,0.8635908483536442,0.6167414576052284,1.743745173986397,4.685644215459514,0.017199396452943935,0.14439596749886272,0.8804255030854498,,,G_3691,1,8,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc009_06h,robust_valid,24.0,12.519950856687233,0.5216646190286347,120.0,58.91872878904384,0.01578227056336798,0.517095678965804,28.883732188585025,0.18298489953548366,0.6312138759531081,0.017453531283955052,0.9048012448474765,50.0,12.584468042135954,2.524618676215919,0.6366666666666667,0.207163664821843,15.283522221859602,0.6368134259108168,2.544801122723145,2.7737536781130223,0.2221927512863901,0.857163664821843,0.6349709135354529,1.8232338329398545,4.624623830484229,0.01683231552091772,0.12185449213003802,0.8729287200057044,,,G_3691,1,9,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
G_3691__strict-best_mc010_06h,robust_valid,24.0,12.896836480925755,0.5373681867052398,120.0,60.0,0.07818784632397428,0.48315228235578783,31.17898364154749,0.1777061675471726,0.6312138759531081,0.016215165584756625,0.9048012448474765,50.0,12.629696888693251,2.569792769327571,0.6687152777777777,0.2238107792731694,16.06368975478185,0.6693204064492438,2.6267133904941016,2.8115658122590994,0.25209522233567994,0.8738107792731694,0.6217155569374895,1.783145802590021,4.579638836510333,0.017712962087569457,0.14067114430976196,0.8877031611325154,,,G_3691,1,10,mc_representative,0.7712882024965764,0.9909500000000024,strict-best
