recipe_id,rank_06c,rank_06a_rescore,yield_score_06c,yield_score_06a,p_robust_valid_06c,p_robust_valid_06a,mean_cd_fixed_06c,mean_cd_fixed_06a,mean_ler_locked_06c,mean_ler_locked_06a,cd_error_penalty_06c,ler_penalty_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,score_gap
D_1243,1,396,1.0,0.5487685920315793,1.0,0.959966666666666,15.29162380591322,16.355073074635087,2.5376672451193754,2.5273078075085764,0.0,0.0,24.0,0.52,52.952189340256155,0.6573477387428284,0.47568279430270194,33.43297273851931,0.2021333150751889,0.4906858271919191,0.011134928120300173,1.5573461670428514,50.0,0.45123140796842065
D_812,2,781,0.9999583333333333,0.29107409922489613,0.9999833333333333,0.9587166666666664,14.854298687223457,16.59924256744177,2.5408464555049317,2.5310786462088344,0.0,0.0,24.0,0.52,52.489258121699095,0.1931153442710638,0.4951038148254156,29.144660155288875,0.20280318291857838,0.5752463086508215,0.008649151157587767,1.3841324714012444,50.0,0.7088842341084372
D_1513,3,1774,0.999925,-0.5017868237462524,0.99995,0.9071666666666668,15.43796641281254,17.289295157079586,2.543436619164305,2.595553744033332,0.0,0.0,24.0,0.52,57.739948318339884,0.2753005949780345,0.3883114458993077,31.595399980433285,0.21976879190653564,0.6074707061052322,0.009825902944430708,1.1671670558862388,50.0,1.5017118237462523
D_3225,4,363,0.999925,0.5724648721053076,0.99995,0.9360666666666673,15.551066402377828,16.270010127894693,2.5413473010554224,2.5227439956606816,0.0,0.0,24.0,0.52,59.955185344442725,0.19484605081379414,0.4984213786199689,32.54462571814656,0.20058580998331307,0.5513192222453653,0.016071795606985687,1.0864991042762995,50.0,0.42746012789469234
D_4593,6,758,0.9996250000000001,0.30472006852890754,0.9998666666666668,0.9723833333333336,15.120192735218684,16.626604931471093,2.5390369949253095,2.525472291818217,0.0,0.0,24.0,0.52,54.4862330686301,0.5168475955724716,0.4447053151205182,35.66634920891374,0.18961607231758534,0.5720053535886109,0.021670072115957735,1.0442101648077369,50.0,0.6949049314710926
D_2652,8,1314,0.9983000000000006,-0.09898347445695777,0.9991333333333339,0.9658499999999992,14.970213002865659,17.01366680779029,2.5406278950029484,2.5355539993598284,0.0,0.0,24.0,0.52,50.27633666899055,0.27707752492278814,0.38451036922633647,36.74058944918215,0.18684964636340737,0.5565899247303605,0.017249463759362697,1.26831394713372,50.0,1.0972834744569584
D_2899,10,1508,0.9973250000000007,-0.24623404724989528,0.9989666666666673,0.9262333333333334,14.797952219994832,17.064075713916562,2.539949218553164,2.5213141121672096,0.0,0.0,24.0,0.52,59.393913810141385,0.11198273207992315,0.43516744785010814,35.399154857732356,0.17993396399542688,0.570628852583468,0.015809983648359775,0.7819570177234709,50.0,1.2435590472498959
D_3536,12,287,0.9949750000000009,0.6230583100869789,0.9983166666666676,0.9522166666666665,14.488885565547145,16.243050023246354,2.5387797379870727,2.522280086831567,0.0,0.0,24.0,0.52,58.21643159072846,0.7871274221688509,0.3263567278161645,26.05789413675666,0.20195914573036133,0.5717279964126647,0.014460683595389127,1.3070269306190312,50.0,0.37191668991302207
D_2146,13,1282,0.9934750000000017,-0.06749218834091442,0.9968000000000017,0.9321666666666669,14.542726244826783,16.892642188340915,2.5468697132269047,2.582855886263663,0.0,0.0,24.0,0.52,57.45745566487312,0.3220409257337451,0.32825823239982127,32.86919340491295,0.1784540202561766,0.6249055511318147,0.020234021712094544,0.6211664425209165,50.0,1.060967188340916
D_1457,15,1322,0.9929000000000016,-0.10942664875767394,0.9969500000000017,0.9654666666666669,15.153862048996077,17.017226648757674,2.54092955146591,2.567149795083576,0.0,0.0,24.0,0.52,40.75216315314174,0.34242468047887087,0.4445094374939799,35.098092425614595,0.1991005108039826,0.5925591707229614,0.012905460242182016,0.8692088257521391,50.0,1.1023266487576755
D_884,17,1973,0.992000000000001,-0.7055675672511679,0.9966833333333344,0.9523166666666658,15.21097432622268,17.5712009005845,2.5441041811142986,2.603370177665916,0.0,0.0,24.0,0.52,49.98298026714474,0.30746882781386375,0.3140278860926628,37.334829131141305,0.18873959445394575,0.6001736952923238,0.013619013978168368,1.7669601729139686,50.0,1.697567567251169
D_2413,18,1626,0.9917750000000014,-0.35125643309365895,0.9959000000000015,0.945399999999999,15.256715039913662,17.23368976642699,2.540501519365152,2.6391912315415733,0.0,0.0,24.0,0.52,53.20566984079778,0.062324951402843,0.4875574421137571,37.67743683885783,0.18601450157351793,0.6202331117354334,0.021732126418501137,1.4818818350322545,50.0,1.3430314330936604
