stage,recipe_id,fd_mc_strict_pass_prob,fd_mc_robust_prob,mean_cd_error,mean_ler,pitch_nm,line_cd_ratio
v2_frozen_op,v2_frozen_op,0.45,1.0,0.629508955290493,2.499464474582675,24.0,0.52
mode_a_G_4867,G_4867,0.78,1.0,0.33042613268894827,2.5335293842594844,24.0,0.52
mode_a_G_4299,G_4299,0.46,1.0,0.5437530504414775,2.55978145971855,24.0,0.52
mode_b_j1453_pinned,J_1453,0.7466666666666667,1.0,0.3504059062392097,2.5582767161777813,24.0,0.45
mode_b_strict_best,J_4164,0.52,1.0,0.5573676620644513,2.7148770715455197,20.0,0.6
mode_b_cd_best,J_1898,0.09,1.0,1.0848888362576983,2.496004493431918,28.0,0.52
mode_b_ler_best,J_625,0.0,1.0,1.9800846868798498,2.4015056344497103,32.0,0.45
mode_b_balanced_best,J_4793,0.26,1.0,0.7170540789038684,2.5197056108880407,28.0,0.45
mode_b_margin_best,J_2597,0.36,1.0,0.6206907470752444,2.4926823362015957,28.0,0.45
mode_b_top10_FD#1,J_1453,0.73,1.0,0.3495767459888867,2.5578902883144328,24.0,0.45
mode_b_top10_FD#2,J_4665,0.53,1.0,0.5181247473146238,2.460546096748318,28.0,0.45
mode_b_top10_FD#3,J_461,0.55,1.0,0.514964365398323,2.54459070600588,24.0,0.52
