stage,recipe_id,strict_score,yield_score,mean_cd_error,mean_ler_locked,p_robust_valid,mean_p_line_margin,strict_pass_prob_proxy,pitch_nm,line_cd_ratio
v2_frozen_op,v2_frozen_op,0.2287391246120527,0.6907333333333334,0.11296153737453096,2.5181625683340236,0.8625,0.1831706292998164,0.5798158359562727,24.0,0.52
mode_a_fd_stability_best,G_4867,0.6248818350465939,0.99955,0.0036178868901899364,2.5355429444492303,0.9998000000000001,0.18417264330358823,0.7759874502483894,24.0,0.52
mode_a_fd_stability_co_winner,G_1096,0.6798153312170786,0.9991250000000002,0.1589608460099594,2.5438734594672714,0.9996833333333335,0.1987933319049295,0.7949652833882292,24.0,0.52
mode_a_fd_stability_runner_up,G_715,0.687038105721114,1.0,0.08962412106547113,2.533584753998202,1.0,0.17984311608240422,0.834617185895262,24.0,0.52
mode_a_strict_best,G_3691,0.4471447197947656,0.9999,0.5727083488559241,2.5454652846445356,0.99995,0.21439806999788139,0.4215877105221972,24.0,0.52
mode_a_cd_best,G_2311,-0.16657791952086076,1.0,0.7879050618956711,2.5431721716831945,1.0,0.223609161040151,0.204828723326966,24.0,0.52
mode_a_ler_best,G_829,-1.4443845593284763,0.7984061326423423,1.2007188673576579,2.511740288888289,0.9996833333333335,0.19701048828165976,0.03258491696841404,24.0,0.52
mode_a_margin_best,G_4299,0.66152690703648,0.99995,0.4623636754600504,2.555332215667522,0.9999666666666667,0.21135616163790566,0.5332221173685688,24.0,0.52
mode_a_balanced,G_1226,0.11226952048449719,1.0,0.7006750814701537,2.5347980822433467,1.0,0.22754098114130394,0.2736302074608587,24.0,0.52
mode_b_strict_best,J_1453,0.8981508092418597,0.9502416666666669,0.1446885336311876,2.545349260112043,0.9804666666666669,0.18926867915200973,0.9803166965003477,24.0,0.45
mode_b_cd_best,J_2261,0.042415411557002985,0.2509416666666667,0.0004779738483655649,2.4328374960851367,0.6503333333333333,0.07051553744026658,0.6349235523996839,28.0,0.52
mode_b_ler_best,J_993,-13.6251941412487,-3.7020762447318587,5.145442911398526,2.2612567002454176,0.7730999999999999,0.19721340084294184,0.0,32.0,0.45
mode_b_balanced_best,J_4793,0.7704067832677522,0.8768250000000007,0.5285073448708228,2.4598449910598252,0.9441333333333342,0.20170097259414696,0.3242051162251217,28.0,0.45
mode_b_margin_best,J_3806,-18.097738792203362,-4.814751085297271,6.75972608529727,2.41903988741792,0.9808166666666658,0.24277013891517182,0.0,32.0,0.52
mode_b_novelty_best,J_1453,0.8981508092418597,0.9502416666666669,0.1446885336311876,2.545349260112043,0.9804666666666669,0.18926867915200973,0.9803166965003477,24.0,0.45
