recipe_id,strict_score,yield_score,p_robust_valid,p_margin_risk,p_under_exposed,p_merged,p_roughness_degraded,p_numerical_invalid,mean_cd_fixed,std_cd_fixed,mean_cd_locked,std_cd_locked,mean_ler_locked,std_ler_locked,mean_p_line_margin,std_p_line_margin,strict_cd_pen,strict_ler_pen,strict_cd_std_pen,strict_ler_std_pen,strict_margin_bonus,cd_error_penalty,ler_penalty,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,_oat_knob,_oat_step,_oat_value,_pair_k1,_pair_k2,_pair_i,_pair_j,_pair_v1,_pair_v2
K_pair_dose_mJ_cm2_sigma_nm_00_00,0.688132872959689,0.9470666666666668,0.9763833333333336,0.012683333333333331,0.008916666666666672,0.0008333333333333327,5e-05,0.0011333333333333321,14.854561496983546,0.29528589037751385,12.486255657915708,0.2876877207631001,2.5378308319344183,0.019006705472310398,0.18342179762676467,0.00805258598978902,0.0,0.0,0.5905717807550277,0.019006705472310398,0.18342179762676467,0.0,0.0,24.0,0.52,47.40907850749791,0.3776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,0,47.40907850749791,0.3776348277926445
K_pair_dose_mJ_cm2_sigma_nm_00_01,0.7081698162606924,0.9434000000000002,0.9746000000000002,0.013883333333333334,0.009083333333333334,0.0010333333333333323,0.00011666666666666667,0.001283333333333332,14.812901117096912,0.2718174136443027,12.42441067848752,0.28349546800570347,2.5362060308833767,0.018031321689145605,0.1824115629982706,0.007810943557494244,0.0,0.0,0.5436348272886053,0.018031321689145605,0.1824115629982706,0.0,0.0,24.0,0.52,47.40907850749791,0.40763482779264454,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,1,47.40907850749791,0.40763482779264454
K_pair_dose_mJ_cm2_sigma_nm_00_02,0.7043578716410245,0.9482500000000001,0.9765166666666668,0.013183333333333332,0.008150000000000003,0.0009499999999999989,8.333333333333333e-05,0.0011166666666666653,14.825901768077198,0.28021267822957213,12.449954216481858,0.28376029568896666,2.535828500471273,0.01876111792990724,0.18280443534220014,0.008586034912300106,0.0,0.0,0.5604253564591443,0.01876111792990724,0.18280443534220014,0.0,0.0,24.0,0.52,47.40907850749791,0.4376348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,2,47.40907850749791,0.4376348277926445
K_pair_dose_mJ_cm2_sigma_nm_00_03,0.7045595199308243,0.9475666666666676,0.9767000000000009,0.012416666666666671,0.008500000000000002,0.001149999999999999,5e-05,0.001183333333333332,14.863942346557014,0.2790259389545835,12.461278025114558,0.287963984881493,2.536251318525324,0.019289040873385333,0.18265325062173138,0.008083285656836713,0.0,0.0,0.558051877909167,0.019289040873385333,0.18265325062173138,0.0,0.0,24.0,0.52,47.40907850749791,0.46763482779264454,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,3,47.40907850749791,0.46763482779264454
K_pair_dose_mJ_cm2_sigma_nm_00_04,0.6841053296004851,0.9452916666666664,0.9757333333333331,0.012850000000000004,0.009266666666666671,0.0009166666666666657,3.3333333333333335e-05,0.0011999999999999988,14.838797758114687,0.29714416610551814,12.45180236953875,0.27821241878704217,2.534470413721714,0.018425126707896217,0.18068156957313947,0.0088444072468138,0.0,0.0,0.5942883322110363,0.018425126707896217,0.18068156957313947,0.0,0.0,24.0,0.52,47.40907850749791,0.49763482779264456,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,4,47.40907850749791,0.49763482779264456
K_pair_dose_mJ_cm2_sigma_nm_00_05,0.6873927120320855,0.9512833333333334,0.9780833333333334,0.011966666666666667,0.008100000000000003,0.0008333333333333326,6.666666666666667e-05,0.000949999999999999,14.884133524120434,0.2993138820442241,12.48845160480776,0.307017239710766,2.539504200150714,0.02009013228996473,0.1818733075518344,0.007272286431299447,0.0,0.0,0.5986277640884482,0.02009013228996473,0.1818733075518344,0.0,0.0,24.0,0.52,47.40907850749791,0.5276348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,5,47.40907850749791,0.5276348277926446
K_pair_dose_mJ_cm2_sigma_nm_00_06,0.696851705829609,0.9487833333333338,0.9769000000000004,0.012766666666666666,0.008283333333333339,0.0008833333333333325,6.666666666666667e-05,0.001099999999999999,14.85578722430338,0.28803325788935824,12.449907500199409,0.28210638741426236,2.5358874413327546,0.018708137562850138,0.18182279666823448,0.008024817001272905,0.0,0.0,0.5760665157787165,0.018708137562850138,0.18182279666823448,0.0,0.0,24.0,0.52,47.40907850749791,0.5576348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,6,47.40907850749791,0.5576348277926446
K_pair_dose_mJ_cm2_sigma_nm_00_07,0.673016220456498,0.9579500000000004,0.9808500000000006,0.010750000000000003,0.006833333333333334,0.000816666666666666,1.6666666666666667e-05,0.0007333333333333329,14.818610362503886,0.3206261625544731,12.411062287860569,0.31457048043259206,2.539418438206177,0.019318965460664708,0.1814074629652125,0.008157901473166862,0.0,0.0,0.6412523251089463,0.019318965460664708,0.1814074629652125,0.0,0.0,24.0,0.52,47.40907850749791,0.5876348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,7,47.40907850749791,0.5876348277926445
K_pair_dose_mJ_cm2_sigma_nm_00_08,0.6829165832235644,0.9533999999999999,0.9791,0.011416666666666672,0.00746666666666667,0.0009666666666666657,1.6666666666666667e-05,0.0010333333333333325,14.905038570687978,0.3066704266127438,12.455802605911847,0.2976550454479632,2.5373564257381642,0.01889010922431177,0.18252825779385673,0.007934973819355639,0.0,0.0,0.6133408532254876,0.01889010922431177,0.18252825779385673,0.0,0.0,24.0,0.52,47.40907850749791,0.6176348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,8,47.40907850749791,0.6176348277926446
K_pair_dose_mJ_cm2_sigma_nm_00_09,0.6736615407739379,0.9537916666666669,0.9790833333333336,0.011500000000000005,0.007700000000000005,0.0008333333333333326,0.00011666666666666667,0.000766666666666666,14.89692371068236,0.3155435345560805,12.47796242633929,0.29823160044264174,2.536499769193158,0.01973885343634371,0.18113134152609342,0.008425274080420906,0.0,0.0,0.631087069112161,0.01973885343634371,0.18113134152609342,0.0,0.0,24.0,0.52,47.40907850749791,0.6476348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,9,47.40907850749791,0.6476348277926446
K_pair_dose_mJ_cm2_sigma_nm_00_10,0.6497493149911907,0.9540000000000002,0.9795333333333336,0.01088333333333334,0.0076333333333333375,0.0009999999999999992,1.6666666666666667e-05,0.0009333333333333326,14.958653971937405,0.3403025538568255,12.499519561699152,0.28573950791129804,2.5345260265054153,0.01917452245642285,0.18255652030490974,0.008232882839706256,0.0,0.0,0.680605107713651,0.01917452245642285,0.18255652030490974,0.0,0.0,24.0,0.52,47.40907850749791,0.6776348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,10,47.40907850749791,0.6776348277926445
K_pair_dose_mJ_cm2_sigma_nm_00_11,0.6864822277931751,0.9523583333333332,0.9787,0.0115,0.007766666666666673,0.0010166666666666655,1.6666666666666667e-05,0.0009999999999999992,14.94402316641902,0.301901657575695,12.466523929649611,0.27349515358632515,2.532058279602921,0.01873791028059158,0.18157802870333092,0.008625324805505777,0.0,0.0,0.60380331515139,0.01873791028059158,0.18157802870333092,0.0,0.0,24.0,0.52,47.40907850749791,0.7076348277926445,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,11,47.40907850749791,0.7076348277926445
K_pair_dose_mJ_cm2_sigma_nm_00_12,0.6238273708754007,0.9440250000000004,0.9745500000000004,0.014283333333333337,0.009283333333333336,0.0006833333333333329,0.0001,0.001099999999999999,14.935806367131525,0.35624522626757205,12.459757486821777,0.2957269256943251,2.5344107286148003,0.018659261303467477,0.18150891117882417,0.008782570451398703,0.0,0.0,0.7124904525351441,0.018659261303467477,0.18150891117882417,0.0,0.0,24.0,0.52,47.40907850749791,0.7376348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,12,47.40907850749791,0.7376348277926446
K_pair_dose_mJ_cm2_sigma_nm_00_13,0.5958981585688969,0.9490083333333339,0.9770333333333339,0.01261666666666667,0.008250000000000002,0.0009333333333333325,0.0001,0.0010666666666666656,14.982066142754228,0.38911959729034223,12.444624962349037,0.2944968130056023,2.5342497122593146,0.019096626476337322,0.182230943056296,0.008840481663104806,0.0,0.0,0.7782391945806845,0.019096626476337322,0.182230943056296,0.0,0.0,24.0,0.52,47.40907850749791,0.7676348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,13,47.40907850749791,0.7676348277926446
K_pair_dose_mJ_cm2_sigma_nm_00_14,0.5847157571963947,0.9478500000000007,0.976933333333334,0.0121,0.008733333333333336,0.0010333333333333323,6.666666666666667e-05,0.0011333333333333321,15.025775535174958,0.3983617866058794,12.517225311221654,0.2821580767077808,2.5344202713127273,0.02059826026622103,0.18210669574153548,0.009447073044545713,0.0,0.0,0.7967235732117588,0.02059826026622103,0.18210669574153548,0.0,0.0,24.0,0.52,47.40907850749791,0.7976348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,14,47.40907850749791,0.7976348277926446
K_pair_dose_mJ_cm2_sigma_nm_00_15,0.5297203000646924,0.9488833333333339,0.9767166666666673,0.013133333333333339,0.008333333333333338,0.0007999999999999995,3.3333333333333335e-05,0.0009833333333333324,15.057619654939954,0.45530896667371046,12.446525284418026,0.29569987829182925,2.5334222709411973,0.01946179989839171,0.1835073334170594,0.009043208441680961,0.0,0.0,0.9106179333474209,0.01946179989839171,0.1835073334170594,0.0,0.0,24.0,0.52,47.40907850749791,0.8276348277926446,0.5002588990144432,29.275345294736326,0.1706448632106185,0.6455813481472432,0.019664063360542057,1.0673484671860933,50.0,,,,dose_mJ_cm2,sigma_nm,0,15,47.40907850749791,0.8276348277926446
