time_offset_s,G4867_strict_pass_prob,J1453_strict_pass_prob,G4867_robust_valid_prob,J1453_robust_valid_prob,G4867_defect_prob,J1453_defect_prob,G4867_mean_cd_error,J1453_mean_cd_error,G4867_mean_ler,J1453_mean_ler,G4867_mean_margin,J1453_mean_margin,G4867_mean_strict_score,J1453_mean_strict_score
-5.0,0.05,0.11,1.0,1.0,0.0,0.0,1.1729309961444132,0.8951053510958111,2.536204043567725,2.558276496709386,0.13030515935729473,0.21357372707939695,-0.9944389368009426,-0.16429163689166487
-4.0,0.19,0.3,1.0,1.0,0.0,0.0,0.8948396535012967,0.6346643570581202,2.5339871286710056,2.556054060829269,0.14068188088271352,0.21989916840528426,-0.21903849754727278,0.45442147464320937
-3.0,0.39,0.51,1.0,1.0,0.0,0.0,0.6678425779166226,0.47904090958801476,2.5363852812776697,2.5566836066677716,0.15164272668413717,0.2266256965087652,0.3085228874992496,0.7822794413217778
-2.0,0.5,0.72,1.0,1.0,0.0,0.0,0.5183800905110408,0.3675418425201024,2.5336981036210817,2.555751437756518,0.1577590721471613,0.23018219718504304,0.6381355050161087,0.9231324845508867
-1.0,0.76,0.94,1.0,1.0,0.0,0.0,0.3310890732370779,0.23051545570837756,2.531404152981315,2.557869717496749,0.16656661268946926,0.2351169315950625,0.8370630771098836,1.0406083645972075
0.0,0.78,0.91,1.0,1.0,0.0,0.0,0.33042613268894827,0.26932832509504956,2.5335293842594844,2.557936357412726,0.17479964777161228,0.24049181195044045,0.9209157638135623,1.0044537745365254
1.0,0.68,0.73,1.0,1.0,0.0,0.0,0.4047311824989292,0.3494417791651662,2.535613534158855,2.560183905156462,0.18281093782922564,0.2457044354702936,0.7905329643532544,0.9230355813711999
2.0,0.48,0.51,1.0,1.0,0.0,0.0,0.5587629603785176,0.5093312551479634,2.5316710236092828,2.561814282310053,0.1905554692125716,0.2491013604958946,0.45594228541192455,0.6927723920449226
3.0,0.34,0.29,1.0,1.0,0.0,0.0,0.6877526166721711,0.7305661738298639,2.529013017639593,2.563878216142042,0.19711174427119954,0.25411569678924306,0.27911438070482003,0.21886476641752647
4.0,0.22,0.12,1.0,1.0,0.0,0.0,0.8216653574909997,0.9347665570076432,2.5305448032863684,2.562007858019639,0.20056988149138205,0.2558177355184325,-0.049195751105102124,-0.29011143460365696
5.0,0.16,0.05,1.0,1.0,0.0,0.0,1.0984443244985023,1.0641041590782134,2.5393707387738527,2.5657264925700356,0.20720179773180508,0.2585998866276642,-0.8387344322868566,-0.6569851046466115
