time_offset_s,G4867_FD_strict_pass,J1453_FD_strict_pass,G4867_pred_strict_pass,J1453_pred_strict_pass,FD_relative_advantage_J_minus_G,pred_relative_advantage_J_minus_G,relative_advantage_residual_pred_minus_fd,G4867_strict_pass_residual,J1453_strict_pass_residual,G4867_CD_error_residual,J1453_CD_error_residual,G4867_LER_residual,J1453_LER_residual,G4867_margin_residual,J1453_margin_residual
-5.0,0.05,0.11,0.21,0.11,0.06,-0.09999999999999999,-0.15999999999999998,0.15999999999999998,0.0,-0.4940098436593745,-0.027347596555994613,-0.002258252632359792,-0.00012512549411836105,0.03333472181431166,0.0031153714710271674
-4.0,0.19,0.3,0.61,0.31,0.10999999999999999,-0.3,-0.41,0.42,0.010000000000000009,-0.511667975591219,-0.006342170478698117,-0.0009088368347325293,0.0003227266554914898,0.02469480291823334,0.002058891427519083
-3.0,0.39,0.51,0.69,0.5,0.12,-0.18999999999999995,-0.30999999999999994,0.29999999999999993,-0.010000000000000009,-0.3228535138605869,-0.008113981889317279,0.0006288363857867019,0.00021467386940088318,0.01855650325938832,0.0006963178251215008
-2.0,0.5,0.72,0.66,0.74,0.21999999999999997,0.07999999999999996,-0.14,0.16000000000000003,0.020000000000000018,-0.1571563549398593,-0.016535794114876323,0.002120514042693422,0.00027001689193495437,0.015132789559300946,0.0003274490023116583
-1.0,0.76,0.94,0.85,0.96,0.17999999999999994,0.10999999999999999,-0.06999999999999995,0.08999999999999997,0.020000000000000018,-0.03639312953718399,-0.018698589331406307,0.002677976607440513,0.00013487560165081902,0.011193070299129276,0.00033376025473602633
0.0,0.78,0.91,0.97,0.92,0.13,-0.04999999999999993,-0.17999999999999994,0.18999999999999995,0.010000000000000009,-0.08899795607809191,-0.018695071854632928,0.003001672686870016,0.0002979359485677513,0.008230021617322641,0.00018766919202622967
1.0,0.68,0.73,0.68,0.75,0.04999999999999993,0.06999999999999995,0.020000000000000018,0.0,0.020000000000000018,-0.05700006979563538,-0.013725120245964006,0.0028085941385485036,9.27342772820694e-05,0.005616004772923094,-0.00026868168851224006
2.0,0.48,0.51,0.55,0.51,0.030000000000000027,-0.040000000000000036,-0.07000000000000006,0.07000000000000006,0.0,-0.09204634219957741,-0.0067703415731305006,0.001927888661666266,0.0001406055166768283,0.001391705674142818,-0.00044325866633271316
3.0,0.34,0.29,0.59,0.26,-0.050000000000000044,-0.32999999999999996,-0.2799999999999999,0.24999999999999994,-0.02999999999999997,-0.23568964931934444,-0.0007415227673255309,0.0015104044310545461,-0.00034566749638820227,-0.003929143126661178,-0.0013469465360226307
4.0,0.22,0.12,0.63,0.06,-0.1,-0.5700000000000001,-0.4700000000000001,0.41000000000000003,-0.06,-0.39303521522957363,0.01182073188328947,0.00010498450220097766,-0.00025113021287159754,-0.008529073706914525,-0.0011561217999777607
5.0,0.16,0.05,0.48,0.05,-0.11,-0.43,-0.32,0.31999999999999995,0.0,-0.5642483967268151,-0.022648442874411145,-0.0022410855866334956,-0.0007696195625812585,-0.013505753536943138,-0.0018653112500731095
